,HR_mean,HR_std,HR_min,HR_max,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_pNN50,HRV_pNN20,HRV_HF,HRV_VHF,HRV_HFn,HRV_LFHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,RSP_mean,RSP_std,RSP_min,RSP_max,RRV_RMSSD,RRV_MeanBB,RRV_SDBB,RRV_SD1,RRV_SD2,RRV_SD2SD1,label,ID
0,0.14565472,0.618726531,0.298733432,0.57636603,0.236660939,0.84440568,0.688372992,0.642728094,0.152329208,0.8,0.6,0.551451479,0,0.411389479,0.085369588,0.046341463,0.476792592,0.37203722,0.236646092,0.716163752,0.201281955,0,0.357965445,0.411919186,0,0.542732977,1,0.633609911,0.541667329,0.704137015,1,1,23
1,0,0.866092518,0.066724562,0.57636603,0.486021856,1,0.972010988,0.920441347,0.396015696,1,0.7,0.632955488,0.36558121,0.226191356,0.162563537,0.137804878,0.174743289,0.717543802,0.486099102,1,0.114284491,0.818683432,0.024493787,0.909623896,0.087195484,0,0.064507353,0,0,0.043294029,0.99715859,1,23
2,0.481100425,0.684855879,0.066724562,0.09554731,0.121817085,0.508589491,0.733635542,0.725512969,0.070429621,0.36,1,1,0.107164491,0,0,0.113109756,0,1,0.121916119,0.789295392,0,0.829042889,0.155652291,0.543459314,0.133413214,0.334067848,0.090354583,0.279500201,0.333828943,0.277946575,0.376241464,1,23
3,0.597888991,0.339713168,0.596808671,0,0.095273111,0.392781435,0.394369095,0.380758808,0.055840628,0.44,0.8,0.788277578,0.080426286,0.502763285,0.008941148,0,0.469649978,0.380106986,0.09536016,0.428452482,0.428299323,0.879043938,0,1,0.133413214,0.0948963,0.018085939,0.009347482,0.094845885,0,0.241575675,1,23
4,0.43992913,1,0,1,1,0.552791003,1,1,1,0.44,0.6,0.5850705,1,1,0.510196583,1,0.882202866,0.029293317,1,0.96941943,0.633615478,1,0.37341073,0.653638012,0.239713743,0.596252559,0,0.475829839,0.595932335,0.419905394,0,0,23
5,0.978962364,0.586569253,0.728632219,1,0.365686406,0.018981869,0.489877964,0.519421861,0.392695442,0,0.5,0.524191319,0.439803048,0.5095602,1,0.567378049,1,0,0.365626244,0.491277344,0.634418037,0.120101911,0.56562341,9.29E-05,0.351666339,1,0.982325282,1,1,1,0.432746442,0,23
6,0.872534781,0.574067679,0.728632219,0.374465355,0.192964148,0.125038552,0.545618126,0.567621629,0.193077774,0.12,0.6,0.615593033,0.235758218,0.599669088,0.155582093,0.114634146,0.463885251,0.381105753,0.192903008,0.574344822,0.335651839,0.787156235,1,0,0.998154613,0.891655291,0.468310291,0.911145855,0.891138076,0.927763971,0.532524888,0,23
7,1,0,1,0.374465355,0,0,0,0,0,0.12,0,0,0.043988509,0.178773669,0.471492437,0.380487805,0.57957417,0.27282448,0,0,1,0.718542291,0.744889786,0.733225414,1,0.678407902,0.355251754,0.68685283,0.678108148,0.706512844,0.560883158,0,23
