,HR_mean,HR_std,HR_min,HR_max,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_pNN50,HRV_pNN20,HRV_HF,HRV_VHF,HRV_HFn,HRV_LFHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,RSP_mean,RSP_std,RSP_min,RSP_max,RRV_RMSSD,RRV_MeanBB,RRV_SDBB,RRV_SD1,RRV_SD2,RRV_SD2SD1,label,ID
0,0.675034821,0.696961088,0.424099186,0.419671955,0.53469028,0.312682471,0.585044376,0.633539128,0.568707483,0.356321839,1,1,0.979221017,0.417039336,0,0,0.173326416,0.590105431,0.534393595,0.577514169,0.040997195,0.58990717,0,1,0.969776644,0,0.336330214,0,0,0,0,1,22
1,0.563718297,0.299225257,1,0.39228201,0.095861393,0.424859124,0.214939689,0.25208467,0.136159079,0.425287356,0.454545455,0.473798928,0,0.191645401,0.133513458,0.033492823,0.143477427,0.64525257,0.095850376,0.218820907,0.020488105,0.370137506,0.194554139,0.586323957,0.276538486,0.045451007,0.54139707,0.222621349,0.045569535,0.3160993,1,1,22
2,0.240540881,0.260066978,0.716072022,0.39228201,0.133898904,0.749280338,0.219032556,0.231358242,0.145159602,0.735632184,0.227272727,0.231177913,0,0.157206099,0.102110522,0.032894737,0.19919525,0.549969848,0.133944201,0.225786593,0.04755143,0,0.427201665,0.055330213,0,0.477349294,1,0.663116858,0.478205062,0.759356283,0.810985186,1,22
3,0,0,0.728102384,0,0,1,0,0,0,1,0,0,0,0,0.22002447,0.123205742,0,1,0,0,0.184672743,0.138009691,0.311112085,0.055330213,0.014373723,0.427789935,0.835079439,0.539883061,0.428411237,0.602247651,0.609479961,1,22
4,0.240771009,1,0,0.347152328,0.954547206,0.747999816,1,1,0.918367347,0.655172414,0.909090909,0.876487149,1,1,0.022277732,0.004784689,0.065583204,0.811716894,0.954218982,1,0,1,0.656476232,0.013243242,0.70139875,0.428058925,0,0.518008962,0.423879861,0.571809978,0.557308944,0,22
5,1,0.551188737,0.837641998,0.522160343,0.485405434,0,0.396577713,0.47181687,0.554788069,0,0.681818182,0.738443375,0,0.572007006,0.152069739,0.072368421,0.121383856,0.686583219,0.485360356,0.392258853,0.174565091,0.942721651,0.921809042,0.042221823,1,0.445856997,0.050403641,0.652847122,0.445146622,0.759113923,0.885690517,0,22
6,0.775819907,0.537629293,0.740160627,0.522160343,0.527547214,0.215814963,0.409725327,0.46564304,0.572370487,0.24137931,0.454545455,0.492552902,0,0.623515939,0.152375612,0.005382775,0.356731826,0.357631561,0.527490615,0.4067988,0.193563279,0.440987348,1,0,1,1,0.541109095,1,1,1,0.369070327,0,22
7,0.542701507,0.245947519,0.949512242,1,1,0.444438403,0.166738262,0.202333226,1,0.425287356,0.090909091,0.129007356,0.65622251,0.506780243,1,1,1,0,1,0.123195988,1,0.504300225,0.440921362,0.54208945,0.520516141,0.217522988,0.41674182,0.406789006,0.21707963,0.505617004,0.932932234,0,22
