,HR_mean,HR_std,HR_min,HR_max,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_pNN50,HRV_pNN20,HRV_HF,HRV_VHF,HRV_HFn,HRV_LFHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,RSP_mean,RSP_std,RSP_min,RSP_max,RRV_RMSSD,RRV_MeanBB,RRV_SDBB,RRV_SD1,RRV_SD2,RRV_SD2SD1,label,ID
0,0.691370657,0.696961088,0.424099186,0.419671955,0.53469028,0.296454187,0.585044376,0.633539128,0.568707483,0.348837209,1,1,0.979221017,0.417039336,0,0.016470588,0.173326416,0.590105431,0.534393595,0.577514169,0.162267195,0.443198171,0,1,0.968475948,0,0.480322312,0,0,0,0,1,22
1,0.755844513,0.480577415,1,0.39228201,0.072804497,0.234155671,0.361839325,0.414047466,0.128623757,0.23255814,0.727272727,0.753837072,0,0.200639769,0,0,0.205642841,0.540405691,0.07274922,0.376131928,0,0.283716573,0.168011815,0.585912654,0.27471247,0.032384211,0.647052238,0.207650784,0.032524544,0.291286707,0.849463026,1,22
2,0.448246375,0.369484901,0.716072022,0.39228201,0.185042194,0.539942449,0.303900572,0.330861129,0.210570382,0.558139535,0.454545455,0.459994551,0,0.251875159,0.124235318,0.04,0.187224266,0.569849492,0.184803511,0.308020903,0.134660507,0.035618241,0.238345021,0.586323957,0,0.115127078,0.951514309,0.349013168,0.115741867,0.450972092,1,1,22
3,0.124176912,0.179626759,0.716072022,0.206961185,0.086619468,0.870136173,0.157272437,0.161722258,0.090633176,0.88372093,0.090909091,0.092407592,0,0.071688916,0.146513051,0.067058824,0.289217396,0.428331171,0.086598713,0.162390039,0.189708902,0,0.329652559,0.055330213,0.012349044,0.388534428,1,0.57561945,0.389747784,0.651148236,0.693613374,1,22
4,0,0,0.728102384,0,0,1,0,0,0,1,0,0,0,0,0.22002447,0.137647059,0,1,0,0,0.287774356,0.042633539,0.275022304,0.055330213,0.012349044,0.410200987,0.953657377,0.525781292,0.411465415,0.570269489,0.506441109,1,22
5,0.246597666,1,0,0.347152328,0.954547206,0.742049828,1,1,0.918367347,0.651162791,0.909090909,0.876487149,1,1,0.022277732,0.021176471,0.065583204,0.811716894,0.954218982,1,0.12645427,0.806706912,0.580323345,0.013243242,0.699894683,0.410458917,0.161130069,0.504478544,0.407113278,0.541447997,0.463090139,0,22
6,0.945689825,0.67007936,0.752246846,0.522160343,0.504143987,0.050871706,0.52033822,0.591484926,0.565149137,0.093023256,0.818181818,0.857960222,0.321397514,0.546199543,0.189437194,0.127647059,0.080309345,0.775190524,0.504115192,0.522649559,0.183977367,1,0.377967532,0.421296955,1,0.155076433,0,0.17892568,0.154704003,0.189277897,0.207896443,0,22
7,1,0.600483127,0.740160627,0.522160343,0.499578645,0,0.444352237,0.518601668,0.566091052,0,0.727272727,0.781218781,0,0.586002439,0.233839723,0.056470588,0.372464994,0.341884451,0.499512018,0.445168909,0.243083052,0.406503035,1,0,0.998722206,0.934511662,0.562361751,1,0.934917296,1,0.39018996,0,22
8,0.692642881,0.400964703,0.740160627,0.356126762,0.495989249,0.296710602,0.301169784,0.347658756,0.531449503,0.325581395,0.272727273,0.309826537,0,0.588038097,0.318515498,0.061764706,0.511077301,0.230273631,0.495889953,0.292818456,0.380939287,0.175094853,0.620713395,0,0.340844078,1,0.831560837,0.913999005,1,0.830085908,0.146759741,0,22
9,0.555834879,0.245947519,0.949512242,1,1,0.431321014,0.166738262,0.202333226,1,0.418604651,0.090909091,0.129007356,0.65622251,0.506780243,1,1,1,0,1,0.123195988,1,0.367315662,0.389773379,0.54208945,0.518875006,0.208579345,0.556636482,0.396163659,0.208493037,0.478769739,0.77521045,0,22
