,HR_mean,HR_std,HR_min,HR_max,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_pNN50,HRV_pNN20,HRV_HF,HRV_VHF,HRV_HFn,HRV_LFHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,RSP_mean,RSP_std,RSP_min,RSP_max,RRV_RMSSD,RRV_MeanBB,RRV_SDBB,RRV_SD1,RRV_SD2,RRV_SD2SD1,label,ID
0,0.236029712,0.809825865,0.184762709,0.45163817,0.451518421,0.735852342,0.743025314,0.772721616,0.42485587,0.747126437,0.352941176,0.325260718,0.524520464,0.478870803,0,0,0.393482867,0.451030108,0.451262982,0.746448069,0,0.350498423,0.502998577,0.038108423,0.151695857,0.773864999,0.573673092,0.792025886,0.773545983,0.812704491,0.092353489,1,27
1,0.083207792,0,0.31634059,0,0.586339749,0.904817519,0.264851062,0.114365122,0.546383648,0.931034483,0.205882353,0.126709154,0.268559063,0.622254957,0.837612323,0.528169014,0.434039932,0.413188294,0.586375562,0.239421247,1,0.33954148,0,1,0,0,0.572428236,0,0,0,0.580798067,1,27
2,0,0.953015725,0,0.231009461,1,1,1,1,1,1,1,1,1,1,0.551091142,0.784037559,1,0,1,1,0.558347955,0,0.338718145,0.238104968,0.019888664,0.530634256,1,0.618133235,0.531164094,0.70333806,0.440158832,1,27
3,1,0.168765391,1,0.736220551,0,0,0,0,0,0,0.117647059,0.178099652,0,0,0.648523748,0.779342723,0,1,0,0,0.061862386,1,0.320322437,0.881610731,0.248327386,0.044893119,0,0.096304192,0.044521004,0.138730558,1,0,27
4,0.796711362,0.493379272,0.576238928,0.770881226,0.263870548,0.180682878,0.273048205,0.332310117,0.311124214,0.172413793,0,0,0.402750444,0.186883662,1,0.791079812,0.162442945,0.73485878,0.263821504,0.271884416,0.244822913,0.712917573,0.578033336,0.622227663,0.328874717,0.244297634,0.217464999,0.364325819,0.243613958,0.468596509,0.960993858,0,27
5,0.70299229,1,0.594727041,1,0.458287076,0.267396532,0.587190077,0.737213258,0.54081499,0.293103448,0.5,0.595886443,0.326693382,0.433429276,0.628498074,1,0.146724165,0.750160805,0.458203189,0.596026767,0.18059656,0.568793494,1,0,1,1,0.45557165,1,1,1,0,0,27
