,HR_mean,HR_std,HR_min,HR_max,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_pNN50,HRV_pNN20,HRV_HF,HRV_VHF,HRV_HFn,HRV_LFHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,RSP_mean,RSP_std,RSP_min,RSP_max,RRV_RMSSD,RRV_MeanBB,RRV_SDBB,RRV_SD1,RRV_SD2,RRV_SD2SD1,label,ID
0,0.087598592,0.074114314,0.479086108,0.129420869,0.553499433,0.897942522,0.115453974,0.137337778,0.510001137,0.810447761,0,0,0.865055362,0.76219236,0.859907386,0.599753695,1,0,0.554376723,0.12148914,0.975910919,0.581664209,0.287017716,0.96957614,0.383167748,0,0.151915363,0,0,0,0.315126045,1,23
1,0.055564287,0,0.541894655,0,0.474092502,0.944564547,0,0,0.396178282,0.826865672,0.057971014,0.059956125,0.862404408,0.77210371,1,1,0.641298228,0.146157898,0.475017854,0,1,0.49638766,0.385094206,0.662138089,0.37642035,0.142127339,0.221668978,0.212687343,0.147034661,0.211888966,0.498512122,1,23
2,0.022017619,0.384213992,0.333318809,0.059904354,0.875783475,0.990614355,0.81497514,0.794395166,0.857433014,0.91641791,0.913043478,0.959002092,1,1,0.152755545,0.066502463,0.077278658,0.792559228,0.876411999,0.831215736,0.751460185,0.116690486,0.018328016,0.314438936,0.05101237,0.501013154,0.682000321,0.133564376,0.53387334,0.020547779,0,1,23
3,0,0.538390575,0,0.222051479,1,1,1,0.972333016,1,1,1,1,0.935867895,0.786866227,0.132117539,0.506157635,0,1,1,1,0.762961892,0,0,0,0,0.865450925,1,0.44715488,0.947745521,0.309647235,0.106766171,1,23
4,0.040067201,0.260294976,0.407869303,0.173213177,0.576417965,0.965628686,0.533999997,0.52818788,0.511333539,0.832835821,0.355072464,0.389725014,0.671535051,0.733659682,0.092327921,0,0.032593926,0.91009575,0.5772802,0.568572782,0.606213672,0.352555971,0.478075258,0.113796389,0.252641788,0.548862518,0.339236982,1,0.522803793,1,1,1,23
5,0.770458001,0.808530435,1,0.873835262,0,0.174335664,0.292340753,0.795303012,0,0.217910448,0.391304348,0.786786388,0,0,0.121341185,0.455665025,0.628455539,0.145541772,0,0.391797773,0,1,0.705054398,1,0.791940325,0.319788354,0,0.073316657,0.316634155,0.010261593,0.081601885,0,23
6,1,1,0.77929336,1,0.056731308,0,0.322599915,1,0.153924898,0,0.217391304,0.690179072,0.065064933,0.157848616,0,0.693349754,0.02878394,0.877683284,0.056902187,0.423525293,0.060004159,0.820249831,1,0.085220245,1,1,0.072885649,0.722467507,1,0.628906016,0.318186869,0,23
