,HR_mean,HR_std,HR_min,HR_max,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_pNN50,HRV_pNN20,HRV_HF,HRV_VHF,HRV_HFn,HRV_LFHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,RSP_mean,RSP_std,RSP_min,RSP_max,RRV_RMSSD,RRV_MeanBB,RRV_SDBB,RRV_SD1,RRV_SD2,RRV_SD2SD1,label,ID
0,0,0.541754975,0.584712574,0.707018444,0.640061077,1,1,0.948131606,0.622635019,1,0.379746835,0.342742339,0.421031756,0.602564103,0.14893617,0.445297505,1,0,0.639889245,1,0.036246711,1,0.26494518,1,1,0.126451143,0,0.02579828,0.123196896,0,0,1,3
1,0.095216572,0.134177393,1,0.262051969,0,0.939713777,0.153423513,0.145739327,0,0.796934866,0.063291139,0.058498849,0,0,1,0.391554702,0.646520023,0.068483031,0,0.168912919,0.350586248,0.818112576,0.32848722,0.44891664,0.536387572,0.257566667,0.097993657,0.284193006,0.253485729,0.32012124,0.177441637,1,3
2,0.116948797,0,0.676954539,0,0.056743629,0.916634376,0,0,0.059448979,0.750957854,0,0,0.08137717,0.067894572,0.869680851,1,0.554028559,0.095318208,0.056695173,0,1,0.922586495,0,0.9189337,0.140445114,0,0.040166332,0,0,0.028779831,0.231455593,1,3
3,0.119969401,0.615114983,0,0.270781239,1,0.912886527,0.842730563,0.815531456,1,0.743295019,1,1,1,1,0,0,0.126436741,0.475924713,1,0.812156114,0.647874241,0.201150135,0.408371862,0.311934194,0.089110905,0.147647239,0.562372754,0.726116721,0.132658008,0.918125454,1,1,3
4,0.157366005,0.472499048,0.273581914,0.236166474,0.703810953,0.872657135,0.622102526,0.609235664,0.713950652,0.724137931,0.506329114,0.509973832,0.605438174,0.678945465,0.656804078,0.270633397,0.314613808,0.222841564,0.703628027,0.597410233,0.63316769,0,0.206818572,0,0,1,1,1,1,1,0.106034027,1,3
5,1,1,0.252029028,1,0.526792367,0,0.814995992,1,0.738718454,0,0.670886076,0.836700842,0.219116623,0.389233963,0.027149823,0.60268714,0,1,0.526165111,0.812130568,0.110695378,0.982817506,1,0.709547401,0.918362989,0.504961603,0.046363145,0.412327596,0.494472233,0.386135766,0.061219261,0,3
6,0.650427353,0.579322011,0.284390979,0.461679786,0.214423121,0.361661373,0.575729064,0.658564939,0.31119242,0.260536398,0.620253165,0.719245564,0.1895425,0.448969335,0.212322695,0.56621881,0.194824713,0.349377636,0.21317756,0.581235246,0,0.808428024,0.78460915,0.19391577,0.581058114,0.54446033,0.108076121,0.632966111,0.535672262,0.689491389,0.184384141,0,3
