,HR_mean,HR_std,HR_min,HR_max,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_pNN50,HRV_pNN20,HRV_HF,HRV_VHF,HRV_HFn,HRV_LFHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,RSP_mean,RSP_std,RSP_min,RSP_max,RRV_RMSSD,RRV_MeanBB,RRV_SDBB,RRV_SD1,RRV_SD2,RRV_SD2SD1,label,ID
0,0.308658566,0,1,0.059086777,0,0.666251772,0,0,0,0.553956835,0,0,0,0,1,0.373660031,0.454002218,0.344863759,0,0,0.907394555,0.858239015,0,1,0.049836951,0,0.085514226,0,0,0,0.36920611,1,20
1,0.278788561,0.387169154,0.798789446,0.471256971,0.257149723,0.700734763,0.472898935,0.411781613,0.238860697,0.798561151,0.142857143,0.11420762,0.120810502,0.591845617,0,0.055130168,1,0,0.257321602,0.472172347,0.389899845,0.775751965,0.94752966,0.334486364,1,0.277881636,0.178628552,0.220986979,0.276791653,0.187508042,0,1,20
2,0.523235971,0.865601648,0,1,1,0.455097816,0.999451171,0.915683428,1,0.503597122,0.792207792,0.735530039,0.478599129,0.593923374,0.1083236,1,0.17922387,0.641005948,1,0.9605859,0.469476654,0.116632394,0.828876488,0.283586569,0.115066167,0.579603804,0.783516859,0.629929158,0.578164103,0.656971248,0.49432576,1,20
3,1,1,0.345751005,0.558862434,0.375545862,0,1,1,0.479849403,0,1,1,0.25713128,0.288980319,0.045858514,0.078101072,0,1,0.375488887,1,0,0,1,0,0,1,1,1,1,1,0.309065792,1,20
4,0,0.187767269,0.131435561,0,0.619989156,1,0.349731019,0.271000101,0.526207235,1,0.337662338,0.273507678,1,1,0.926413082,0.885145482,0.593872349,0.226323335,0.620211695,0.317304916,1,1,0.592968076,0.284094536,0.21578878,0.169135261,0,0.183443858,0.16839852,0.191370016,0.445315172,0,20
5,0.340402166,0.331077422,0.664147873,0.514459665,0.413964782,0.635700271,0.404286213,0.35929753,0.39885415,0.661870504,0.298701299,0.266035766,0.418221899,0.726231562,0.568076786,0.650842266,0.156933824,0.695687485,0.414080892,0.390856647,0.657328255,0.857367824,0.8403205,0.268629788,0.23915057,0.316854101,0.097959584,0.323774633,0.315584849,0.328199379,0.368343042,0,20
6,0.300004623,0.459147184,0.774089496,0.514459665,0.367788303,0.677628022,0.552963333,0.485003521,0.347618268,0.762589928,0.272727273,0.234280142,0.320558735,0.566255505,0.110761261,0,0.555535967,0.259258369,0.367941848,0.548741108,0.400660178,0.720327139,0.659076757,0.359358393,0.23915057,0.221778283,0.191234124,0.278607979,0.221094759,0.307213668,0.688928338,0,20
7,0.701142465,0.66305115,0.873485072,0.866980506,0.353003612,0.278338618,0.704618212,0.677809235,0.404223277,0.302158273,0.74025974,0.71168585,0.234457108,0.133308259,0.238433802,0.206738132,0.217472105,0.607720287,0.353049677,0.691005078,0.235367471,0.390864916,0.93416173,0.271249461,0.132722699,0.366233505,0.468786013,0.513283836,0.364887482,0.582760486,1,0,20
