,HR_mean,HR_std,HR_min,HR_max,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_pNN50,HRV_pNN20,HRV_HF,HRV_VHF,HRV_HFn,HRV_LFHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,RSP_mean,RSP_std,RSP_min,RSP_max,RRV_RMSSD,RRV_MeanBB,RRV_SDBB,RRV_SD1,RRV_SD2,RRV_SD2SD1,label,ID
0,0,0.666948114,0,0.310120863,1,1,0.977927699,0.806517208,1,1,0.745762712,0.628844153,1,1,0.57987013,0.65,1,0,1,0.939073869,0.573345381,0.670043843,0.371922893,0.162835736,0,0.288445776,0.130331635,0.229640171,0.285179196,0.1941668,0.054535765,1,12
1,0.686199935,1,0.279394977,1,0.460145059,0.293508357,1,1,0.570954051,0.273743017,1,1,0.624540721,0.314159472,0.104383117,0,0.398627461,0.358957069,0.460167222,1,0,0.489697785,1,0.162835736,0.996651681,0.479877349,0.302295091,0.386899908,0.475812945,0.328323569,0,1,12
2,0.945848453,0.640036522,1,1,0.108542185,0.050231225,0.531572745,0.56219816,0.205696008,0.067039106,0.627118644,0.675348141,0.44092523,0.183611875,0,0.141666667,0,1,0.108312948,0.535775704,0.08265322,0.138314895,0.463010301,0.177077446,1,0.628860669,0.659360814,0.563313881,0.626113784,0.524712834,0.219250174,1,12
3,0.611440771,0.713054851,0.763495185,0.291450485,0.14982132,0.123733878,0.426272095,0.433811194,0.238912468,0.027932961,0.627118644,0.682447847,0.558968808,0.396694247,0.13538961,0.583333333,0.322426864,0.435395371,0.150248656,0.42409686,0.264389258,0,0.375982579,0,0.048176862,1,1,1,1,1,0.474962693,1,12
4,0.315654313,0.062951432,0.883720129,0.876474752,0.046793146,0.662129548,0.186583577,0.085709928,0,0.687150838,0.13559322,0.114617364,0.319558118,0.503786999,0.118181818,0.425,0.235913517,0.544223248,0.046955859,0.190320809,0.456871089,1,0,1,0.09838639,0,0,0,0,0,0.844995239,0,12
5,0.424323962,0.036245691,0.883720129,0.876474752,0.159920566,0.551462968,0.143063977,0.059554674,0.154272006,0.575418994,0,0,0.359927457,0.638382169,0.548214286,0.3625,0.465458274,0.300980777,0.160049408,0.13828901,0.705297112,0.954507839,0.097168526,0.778726963,0.088709425,0.016489901,0.013479164,0.02358456,0.016315071,0.027153189,1,0,12
6,0.760766046,0,0.604272858,0,0.22645012,0.22188351,0.052188713,0.019089014,0.308420988,0.217877095,0.13559322,0.169425636,0.171372338,0.564141902,1,1,0.429468422,0.332840993,0.226422076,0.037180622,1,0.806493511,0.433562395,0.371270195,0.027893662,0.134831432,0.066504166,0.13130549,0.133220724,0.130513868,0.562829896,0,12
7,1,0.01616482,0.604272858,0.40430132,0,0,0,0,0.083717783,0,0.050847458,0.112208209,0,0,0.76461039,0.608333333,0.286579205,0.483517426,0,0,0.719103416,0.74197884,0.452256533,0.349740992,0.085752617,0.194341161,0.095922915,0.167879345,0.191845307,0.153932724,0.289311144,0,12
