,HR_mean,HR_std,HR_min,HR_max,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_pNN50,HRV_pNN20,HRV_HF,HRV_VHF,HRV_HFn,HRV_LFHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,RSP_mean,RSP_std,RSP_min,RSP_max,RRV_RMSSD,RRV_MeanBB,RRV_SDBB,RRV_SD1,RRV_SD2,RRV_SD2SD1,label,ID
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.054578954,0.329355486,0.260952381,0.478406849,0.320370508,0,0,0.221866545,0.2000822,0,0.748483528,0.110990736,0,0.707922703,0,0,0,1,1,13
1,0.941848068,0.450057932,0.630569118,0.118131868,0.184386508,0.057893709,0.427308653,0.495230594,0.2056341,0,0.181818182,0.194085321,0.053046235,0,0.204104727,0,0.867028931,0.066045133,0.184128995,0.449335369,0,0.198248142,0.291557081,0.152228636,0,0.373218743,0.715941955,0.346870891,0.372991582,0.325194173,0.258717362,1,13
2,0.177483757,0.716899873,0.630569118,1,0.633705776,0.807759483,0.737317628,0.737347219,0.626186959,0.814814815,0.727272727,0.67529621,0.702030478,0.680589271,1,1,1,0,0.63363642,0.752250624,0.341927264,0.085112863,0.882764429,0.00470688,0.531454701,0.827542146,0.879639125,0.820016938,0.827369091,0.813947086,0.42005242,1,13
3,0,1,0.611302405,1,1,1,1,1,1,1,1,0.929322448,1,1,0.545342318,0.345714286,0.588051365,0.233252585,1,1,0.563990436,0,0.909755593,0,0.107625837,1,1,1,1,1,0.457337182,1,13
4,0.684245109,0.746757094,0,0.335509554,0.892521724,0.296991617,0.72123358,0.800764272,0.980129423,0.24691358,0.727272727,0.744734919,0.582157834,0.705308042,0,0.713333333,0,1,0.891294162,0.519355404,1,1,1,0.838841115,1,0.078029935,0,0.038309809,0.077171773,0.005747219,0,0,13
5,0.739130242,0.705654755,0.894104476,0.360047847,0.367763718,0.248937527,0.539850351,0.59794055,0.394140817,0.24691358,0.96969697,1,0.582157834,0.659970799,0.127256828,0.855238095,0.176503446,0.658587883,0.367697369,0.566084882,0.157679482,0.690351246,0.900920508,1,1,0.072267032,0.233396687,0.068550902,0.071652179,0.066180168,0.828340135,0,13
