,HR_mean,HR_std,HR_min,HR_max,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_pNN50,HRV_pNN20,HRV_HF,HRV_VHF,HRV_HFn,HRV_LFHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,RSP_mean,RSP_std,RSP_min,RSP_max,RRV_RMSSD,RRV_MeanBB,RRV_SDBB,RRV_SD1,RRV_SD2,RRV_SD2SD1,label,ID
0,0.558143041,0.182832822,0.3167016,1,0.306895822,0.422671423,0.166729461,0.108708156,0.314054367,0.434782609,0,0,0,0.294343053,1,0.114817688,1,0,0.306910084,0.15564132,0.716060924,0.276754457,0.349746358,0.91593201,0.266760505,0,0.598511209,0.036460658,0,0.180647632,0.754783415,1,34
1,0.380649462,0,0.3167016,0,0.285595349,0.600870866,0.146549513,0.034280456,0.258675535,0.543478261,0.5,0.511038763,0,0.177910014,0.481248063,0.027152832,0.692973907,0.196608421,0.285511514,0.133333839,0.696429386,0.034173908,0,0.419434154,0.121376812,0.726147474,0.923381144,0.142256989,0.726065003,0.114565435,0.07095494,1,34
2,0.239763334,1,0.178427419,0.284816378,0.804084015,0.745736246,0.935640566,1,0.831116252,0.695652174,1,1,0,0.828772144,0.597375762,0.139643134,0.017408933,0.977064066,0.804059504,0.956157653,0.598727712,0,0.772654175,0,0,1,1,1,1,1,0.9092878,1,34
3,0,0.926482735,0,0.284816378,1,1,1,0.996318877,1,1,0.75,0.653677892,0,1,0.649808865,0.322730799,0.589545446,0.270029134,1,1,1,0.359624015,0.694069965,0.076607142,0.145043429,0.289671577,0.505525989,0.426265187,0.288751544,0.532943263,1,1,34
4,0.740125018,0.121622655,0.911629168,0.67957109,0.249528476,0.245503975,0.056886618,0.01288393,0.276749566,0.260869565,0.5,0.586733137,0,0.097285454,0.344870338,1,0.088791534,0.803609608,0.249547584,0.046390146,0.771831821,1,1,1,1,0.535717965,0,0,0.531433332,0,0.021952107,0,34
5,0.889150175,0.14252579,0.911629168,0.467305062,0,0.103098145,0.017933715,0,0,0.130434783,0.5,0.622850748,0,0,0,0,0.129613114,0.780641826,0,0.023888593,0,0.640485804,0.636659337,1,0.555834134,0.653267298,0.259748036,0.053814567,0.649633488,0.028105221,0,0,34
6,1,0.159339964,1,0.655610118,0.087673893,0,0,0.004371333,0.122903412,0,0,0.100111914,0,0.092534127,0.475513999,0.269200931,0,1,0.087697186,0,0.339413562,0.570965939,0.652387499,0.079853079,0.394143413,0.746138838,0.315288081,0.203341999,0.742644303,0.184453091,0.147888072,0,34
