,HR_mean,HR_std,HR_min,HR_max,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_pNN50,HRV_pNN20,HRV_HF,HRV_VHF,HRV_HFn,HRV_LFHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,RSP_mean,RSP_std,RSP_min,RSP_max,RRV_RMSSD,RRV_MeanBB,RRV_SDBB,RRV_SD1,RRV_SD2,RRV_SD2SD1,label,ID
0,0,0,0.421451906,0,0.258885632,1,0.018701336,0,0.115724678,1,0,0,0,0.519328455,0.289512601,0.595387841,0.447597686,0.180705347,0.258534463,0,1,0.716494516,0.457214128,1,0.821714357,0.238117617,0.148911609,0.075005534,0.233743337,0,0.162480284,1,32
1,0.175277899,0.239384945,0.357011536,0.171738009,0.394325161,0.807724479,0.307018447,0.262872176,0.335534415,0.830985915,0.6,0.578345516,0.335078613,0.785554505,0.125053916,0.320754717,0.340191923,0.258485436,0.394485464,0.303630944,0.773186629,0.57886369,0.49949589,0.661441445,0.820938901,0.349742709,0.268153216,0.356479172,0.348857028,0.285716868,0.257419123,1,32
2,0.177264409,0.141713501,0.119984541,0.056032307,0.261542357,0.804786575,0.175773268,0.165156387,0.193956351,0.788732394,0.2,0.248172541,0.335078613,0.823155895,0.836619632,0.538784067,0.837792372,0.032969341,0.26151437,0.157149188,0.800526221,0.317426458,0.28147991,0.242038362,0.217863805,0.075664828,0.513503747,0.468605196,0.067807657,0.562089971,1,1,32
3,0.200587165,0.597643916,0,0.171738009,1,0.77995774,1,0.792207792,1,0.718309859,1,0.976550626,1,1,0.510105367,0,0.614958466,0.101958,1,1,0.649177779,0.008161193,0.061371906,0.257358708,0.037746047,0.326249564,1,0.327706267,0.333907621,0.259001737,0.253971432,1,32
4,0.386429772,0.243033819,0.369828893,0.171738009,0.414182539,0.583401222,0.196608605,0.24065645,0.452378288,0.563380282,0.8,0.871824564,0.328205227,0.598897238,1,0.020964361,1,0,0.413865108,0.155999031,0.974191234,0,0,0.312484342,0,0,0.979145119,0,0,0.053428717,0.605412361,1,32
5,0.400780365,0.157249238,1,0.171738009,0,0.570892314,0,0.092370652,0,0.598591549,0.7,0.76659188,0.10884352,0.040432771,0.508873005,0.28721174,0.783450974,0.046850218,0,0.010299482,0.678227591,0.012038072,0.220997096,0,0.104986587,0.470246713,0.995883905,1,0.47673066,1,0.564938948,1,32
6,0.339502122,0.340398438,0.132159443,0.122923588,0.14629023,0.633794928,0.437166105,0.411032697,0.13654169,0.535211268,0.2,0.347470507,0.218803413,0.156936109,0.185532072,0.111111111,0.229204741,0.379284152,0.146358888,0.464925423,0.342833224,0.046068637,0.236037713,0.178050496,0.153673455,0.472721002,0.903151229,0.914243916,0.48149018,0.895498696,0.498770979,1,32
7,0.650785883,0.657809638,0.280838816,0.701272984,0.084737285,0.322612369,0.682860665,0.702259156,0.194627868,0.295774648,0.8,1,0.31527104,0,0,1,0,1,0.084200814,0.707390292,0.066877953,0.918321982,0.977437834,0.291806757,1,1,0.080228465,0.936422396,1,0.529056719,0,0,32
8,1,1,0.757462406,1,0.21889129,0,0.902661183,1,0.494795747,0,0.6,0.960555837,0.303317547,0.229374446,0.016636885,0.406708595,0.142853635,0.519485929,0.21821703,0.951583303,0,1,1,0.294333319,0.888911704,0.845468274,0,0.87787654,0.845452444,0.594088306,0.087307964,0,32
