,HR_mean,HR_std,HR_min,HR_max,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_pNN50,HRV_pNN20,HRV_HF,HRV_VHF,HRV_HFn,HRV_LFHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,RSP_mean,RSP_std,RSP_min,RSP_max,RRV_RMSSD,RRV_MeanBB,RRV_SDBB,RRV_SD1,RRV_SD2,RRV_SD2SD1,label,ID
0,0.212971279,0.484316722,0.146632853,0.362106943,0.622141898,0.75707867,0.468331602,0.478756834,0.615839782,0.632398754,0.279069767,0.323168806,0.589561649,0.412878815,0.393921224,0.332993371,0.30332668,0.320272294,0.621764672,0.463974149,0.597652844,0.429230925,0.221950159,1,0.596424425,0.158440546,0.381597902,0,0.154948264,0,0.118105211,1,31
1,0.238412869,0.590204448,0.256396471,0.443069771,0.668943237,0.731950533,0.539367819,0.553527614,0.669870679,0.666666667,0.662790698,0.704427816,0.951307397,0.725724447,0.281939419,0.091789903,0.428807328,0.216679106,0.668822022,0.540923989,0.545635329,0.43545549,0.292013039,0,0.250264095,1,0.39757865,1,1,0.852345311,0,1,31
2,0.147408775,0.75545117,0.357070219,0.470851134,1,0.740195023,1,1,1,0.800623053,1,1,0.917768041,1,0,0,0.152201039,0.533411871,1,1,0.362917683,0.350332892,0.242145311,0.540293196,0.231143711,0.4589906,0.470533865,0.626127401,0.460493117,0.764227575,0.332263767,1,31
3,0,0.303116997,0,0.254418522,0.661663675,1,0.326230529,0.294850272,0.58946692,1,0.162790698,0.136761173,1,0.840423468,0.518081257,0.233554309,1,0,0.661279235,0.303770697,0.891757526,0.295035047,0.158106531,0.540038706,0.141887413,0.342100343,0.541509787,0.383791087,0.343558825,0.469794958,0.262851133,1,31
4,0.061879994,0,0.650144868,0,0.267906592,0.927831375,0,0,0.224825297,0.875389408,0,0,0.585299223,0.878424427,1,1,0.739883136,0.064516313,0.268168988,0,1,0.390339964,0.269091648,0.55001703,0.204827002,0.072471214,0.406313966,0.526613354,0.073043468,0.890988915,1,1,31
5,0.250372232,0.207507616,0.741617047,0.372700933,0,0.715909899,0.119479076,0.14690141,0,0.704049844,0.197674419,0.225756848,0.020419475,0.434306622,0.153974982,0.050484447,0.178527705,0.488927739,0,0.158990164,0.290465415,0,0,0.533194348,0,0.16490349,1,0.147616484,0.160001389,0.246603564,0.309718735,1,31
6,0.218341584,0.326781019,0.622465019,0.394072094,0.187673471,0.750035186,0.244671032,0.262938889,0.182146778,0.719626168,0.279069767,0.304331709,0.589561649,0.608585855,0.157365864,0.055073942,0.845505172,0.036184349,0.187646617,0.273705007,0.36932436,0.277883218,0.074925789,0.796817454,0.131257986,0,0.565010881,0.006362048,0,0.15455953,0.467611823,1,31
7,1,1,1,1,0.129220874,0,0.511317934,0.715466403,0.291065357,0,0.337209302,0.547758633,0.082278508,0.085858614,0.001426652,0.027536971,0.346714749,0.274530797,0.12878231,0.557492964,0,0.769677327,0.771657517,0.796154484,0.90789769,0.71655279,0.142865935,0.646641683,0.71123788,0.540673683,0.014973037,0,31
8,0.985861084,0.737477205,1,0.866284553,0.069426157,0.011496784,0.321511681,0.502446444,0.22000589,0.062305296,0.174418605,0.343749571,0,0,0.118887625,0.191738909,0,1,0.06897495,0.364281261,0.119821514,1,1,0.794168118,1,0.471683446,0,0.775183025,0.465211804,1,0.469553154,0,31
